country,year,Export,Import
AZE,1999,929225537.0,1035652323.0
AZE,2000,1745251936.0,1172038210.0
AZE,2001,2314282345.0,1430877454.0
AZE,2002,2167500086.0,1665564219.0
AZE,2003,2591719389.0,2626427367.0
AZE,2004,3615449827.0,3515861062.0
AZE,2005,4347151207.0,4211207311.0
AZE,2006,6372164992.0,5266743705.0
AZE,2007,6058319100.0,5712178288.0
AZE,2008,47756229362.0,7161847499.0
AZE,2009,14688727691.0,6119060204.0
AZE,2010,21278419980.0,6596796766.0
AZE,2011,26480188838.0,9732869048.0
AZE,2012,23827186078.0,9641723771.0
AZE,2013,23904108012.0,10763391507.0
AZE,2014,21751737145.0,9178588183.0
AZE,2015,12646293676.79,9214281379.39
AZE,2016,13380818566.71,8472499915.55
AZE,2017,15306018304.44,8767799111.76
AZE,2018,19489068203.82,11460337555.33
AZE,2019,19635202600.73,13649506476.13
AZE,2020,13732637263.23,10731105817.34
AZE,2021,22207974784.94,11695932184.3
AZE,2022,38146430731.08,14535587661.11
AZE,2023,33898554855.28,17278236451.58
AZE,2024,26554056764.78,21054831458.23
BDI,1993,158262896.0,221209600.0
BDI,1994,171596704.0,203344832.0
BDI,1995,178939376.0,270489664.0
BDI,1996,81775776.0,139802224.0
BDI,1997,68744928.0,120567432.0
BDI,1998,86495760.0,162234928.0
BDI,1999,62412896.0,131972128.0
BDI,2000,42854751.0,150219354.0
BDI,2001,42155840.0,138898120.0
BDI,2002,26559876.0,128838553.0
BDI,2003,65903214.0,144650753.0
BDI,2004,82724709.0,172728958.0
BDI,2005,113755962.0,258152953.0
BDI,2006,228522401.0,433635513.0
BDI,2007,156195390.0,422995874.0
BDI,2008,141785754.0,315157397.0
BDI,2009,112931709.0,344795673.0
BDI,2010,118156461.519,404047033.077
BDI,2011,197835657.0,1127649727.0
BDI,2012,242699757.0,1003121113.0
BDI,2013,205748813.0,721660450.0
BDI,2014,141500677.0,672578787.0
BDI,2015,113790703.0,560585346.0
BDI,2016,123055817.0,625328492.0
BDI,2017,149406437.5,783299126.091
BDI,2018,180204373.304,793483604.703
BDI,2019,180850693.901,887729043.379
BDI,2020,161435827.836,909784642.443
BDI,2021,163656476.675,1025017811.213
BDI,2022,207868668.533,1260470568.441
BEL,1995,168153612288.0,153388335104.0
BEL,1996,168343584768.0,157996204032.0
BEL,1997,172699795456.0,159458607104.0
BEL,1998,178615435264.0,166721634304.0
BEL,1999,178866828247.0,164603472960.0
BEL,2000,187838904743.0,176990651494.0
BEL,2001,190309486976.0,178697512388.0
BEL,2002,215803005428.0,198094630569.0
BEL,2003,255553660880.0,234922194436.0
BEL,2004,307690419647.0,286478237982.0
BEL,2005,335691778058.0,319085461278.0
BEL,2006,366835492350.0,353093659615.0
BEL,2007,431743842738.0,413035800320.0
BEL,2008,471797820094.0,466338013887.0
BEL,2009,370879193628.0,354586368473.0
BEL,2010,274724245144.588,282824854916.43
BEL,2011,327589023656.764,341601380377.552
BEL,2012,305138320815.614,318426807370.856
BEL,2013,318244235352.657,327981656318.022
BEL,2014,319214138235.333,328434633520.439
BEL,2015,253410705992.653,258592723817.133
BEL,2016,271231916571.688,276952158721.632
BEL,2017,296556522030.368,305936853961.826
BEL,2018,323378438760.036,340085567767.348
BEL,2019,311796811947.95,318706545157.901
BEL,2020,295143761843.513,294246686004.883
BEL,2021,385980404667.027,393947911334.252
BEL,2022,463782146328.437,464276902334.93
BEL,2023,393157732896.377,415137347678.401
BEL,2024,377265064130.373,366891326617.327
BEN,1998,332872640.0,807020032.0
BEN,1999,225627216.0,690955008.0
BEN,2000,189795148.0,547076221.0
BEN,2001,204165363.0,601510182.0
BEN,2002,241718935.0,725028594.0
BEN,2003,271525807.0,891974145.0
BEN,2004,298312458.0,893819934.0
BEN,2005,288195509.0,898695761.0
BEN,2006,224593084.0,1003250250.0
BEN,2007,274387393.0,1630866027.0
BEN,2008,421063805.0,1713643054.0
BEN,2009,425347736.0,1548967817.0
BEN,2010,533902342.0,2133551198.0
BEN,2011,388592197.0,2070012091.0
BEN,2012,460338227.0,2316427344.0
BEN,2013,602013920.0,2940678607.0
BEN,2014,968325892.0,3703725329.0
BEN,2015,625002384.466,2546625119.466
BEN,2016,408742652.801,2559957865.636
BEN,2017,741989094.073,3210052173.515
BEN,2018,950955697.743,3348856325.971
BEN,2019,850663257.893,2907372147.165
BEN,2020,846059922.535,2654129183.111
BEN,2021,1025544254.258,3421838432.052
BEN,2022,899184556.106,3845858822.924
BEN,2023,1052210913.543,3904898286.01
BFA,1995,170945472.0,483809088.0
BFA,1996,198571392.0,580572736.0
BFA,1997,224579392.0,726500736.0
BFA,1998,246703686.0,796083663.0
BFA,1999,236441245.0,781773730.0
BFA,2000,183912886.0,723595863.0
BFA,2001,188240936.0,788427905.0
BFA,2002,170550669.0,582013919.0
BFA,2003,313984875.0,785968408.0
BFA,2004,392075092.0,995361532.0
BFA,2005,349268918.121,1166384179.922
BFA,2006,507092746.903,1502222574.608
BFA,2007,559518767.96,1699979156.428
BFA,2008,592667902.591,2219613334.086
BFA,2009,983301741.176,2224233959.126
BFA,2010,1357916723.664,2276671351.545
BFA,2011,2426984396.326,2775515403.557
BFA,2012,2269841056.076,3554354135.199
BFA,2013,2501358681.859,4356071316.673
BFA,2014,2603577417.26,3585921924.57
BFA,2015,2216983364.4,3069148530.613
BFA,2016,2520012338.0,3342727115.0
BFA,2017,2909370118.24,3943250669.083
BFA,2018,3267574544.55,4396268961.314
BFA,2019,3261104826.818,4259319002.143
BFA,2020,4374631844.748,4178962967.218
BFA,2021,5060027958.95,4709930446.832
BFA,2022,4556026146.944,5647110848.988
BFA,2023,4458757137.217,5880261677.507
BFA,2024,5642319696.589,6428761846.688
BGD,1989,1328007712.0,2954929854.0
BGD,1990,1556440406.0,3431776515.0
BGD,1991,1690206892.0,3136684155.0
BGD,1992,1941607168.0,3467048704.0
BGD,1993,2253093708.0,3525707166.0
BGD,1994,2483326976.0,
BGD,1995,3407241163.0,5438407896.0
BGD,1996,3538509801.0,6225296170.0
BGD,1997,4017455594.0,6784461253.0
BGD,1998,5056914536.0,7017968265.0
BGD,2000,5493226431.0,7611261550.0
BGD,2001,5388747139.0,8041198469.0
BGD,2002,5417272534.0,9215132571.0
BGD,2003,6403425621.0,10145692752.0
BGD,2004,8267482023.0,11372744850.0
BGD,2005,9331583363.0,12630526296.0
BGD,2006,11696700498.0,15688545072.0
BGD,2007,13142952925.0,17622872861.0
BGD,2008,15506719178.0,24334108166.0
BGD,2009,15558633995.0,23245039195.0
BGD,2010,19230982559.0,30503835497.0
BGD,2011,24313744243.0,41221651781.0
BGD,2012,24513500832.0,36356219409.0
BGD,2013,24537341006.0,35493348058.0
BGD,2015,31734162419.0,48058710041.0
BGR,1996,4890187776.0,5073922048.0
BGR,1997,4939664384.0,4931953664.0
BGR,1998,4292926720.0,4995096064.0
BGR,1999,3924528950.0,5409527038.0
BGR,2000,4821843864.0,6504688325.0
BGR,2001,5113888232.0,7278158957.0
BGR,2002,5748869468.0,7987045940.0
BGR,2003,7540175591.0,10886579888.0
BGR,2004,9931087433.0,14467100657.0
BGR,2005,11739329329.0,18162452722.0
BGR,2006,15101457070.0,23268729351.0
BGR,2007,18575129425.0,30085387539.0
BGR,2008,22485509057.0,37015366386.0
BGR,2009,16502519893.0,23340811547.0
BGR,2010,20608005156.0,25359886220.0
BGR,2011,28165219747.0,32493611423.0
BGR,2012,26698780088.0,32743133695.0
BGR,2013,29510574320.0,34316572909.0
BGR,2014,29386540311.0,34740042449.0
BGR,2015,25778745945.0,29265116176.0
BGR,2016,26688182909.371,28958139912.603
BGR,2017,31588418276.159,34263590069.665
BGR,2018,33787143989.759,37927842259.089
BGR,2019,33454448049.403,37765114126.383
BGR,2020,31914703883.498,35027243632.891
BGR,2021,41370856687.293,46395777342.428
BGR,2022,50250282857.552,58091667019.676
BGR,2023,47900556830.376,53528641323.766
BGR,2024,46638313033.37,53794370567.59
BHR,2000,6194679351.0,4633587880.0
BHR,2001,5551309153.0,4296168301.0
BHR,2002,5794198135.0,5010859566.0
BHR,2003,6631600766.0,5657241320.0
BHR,2004,7516028525.0,6583640187.0
BHR,2005,10238577799.0,9339254009.0
BHR,2006,11661614411.0,8956853532.0
BHR,2007,13664874240.0,11515148862.0
BHR,2008,13082979789.0,18414553284.0
BHR,2009,8383999812.0,11993377020.0
BHR,2010,16059213418.0,16001647094.0
BHR,2011,22561916650.0,17643318338.0
BHR,2012,16621225728.0,14249140950.0
BHR,2013,20036210162.0,18617509370.0
BHR,2014,23745958554.0,20073673075.0
BHR,2015,13882170668.552,16389939722.993
BHR,2016,10545888964.255,14748516726.92
BHR,2017,12485359226.994,17390888016.863
BHR,2018,14347737494.17,20597535923.718
BHR,2019,14167263135.073,18588377144.142
BHR,2020,11559232443.05,15458353936.863
BHR,2021,18198973799.994,14135237381.753
BHR,2022,22252183289.268,15534502920.483
BHR,2023,12406927759.432,15354369877.812
BHS,1997,181385696.0,1621739008.0
BHS,1998,300320704.0,1815543296.0
BHS,1999,426030400.0,1750850304.0
BHS,2000,554884272.0,2002171986.0
BHS,2001,375881195.0,1927317261.0
BHS,2002,388767972.0,1838254314.0
BHS,2003,364827363.0,1873809029.0
BHS,2004,401310657.0,1976138649.0
BHS,2005,270849123.0,2566676925.0
BHS,2006,509419838.0,2984310381.0
BHS,2007,669976837.0,3102601552.0
BHS,2008,701528661.0,3229968663.0
BHS,2009,584878552.0,2698526468.0
BHS,2010,620143299.0,2861948147.0
BHS,2011,726943076.0,3410316267.0
BHS,2012,828692195.0,3646505184.0
BHS,2013,811465065.0,3365293982.0
BHS,2014,689194495.0,3790365670.0
BHS,2015,442781375.0,3161314272.0
BHS,2016,402712422.0,2930861462.0
BHS,2017,473322277.13,3477450224.06
BHS,2018,524192922.24,3523973184.13
BHS,2019,537268559.81,3320458693.718
BHS,2020,339259846.0,2205003339.0
BHS,2021,543423784.0,3482581191.0
BHS,2022,574236512.0,3757847448.0
BHS,2023,700601581.0,4187477640.0
BIH,2003,1400284313.0,4823652527.0
BIH,2004,1912379000.0,5980462683.0
BIH,2005,2388483188.0,7053770509.0
BIH,2006,3427781565.0,7559256431.0
BIH,2007,4151965348.0,9720056196.0
BIH,2008,5021082673.0,12188608532.0
BIH,2009,3953920135.0,8363714090.0
BIH,2010,4803107191.0,9222997633.0
BIH,2011,5850078709.0,11050575357.0
BIH,2012,5161808996.0,10019077121.0
BIH,2013,5687463465.0,10295187458.0
BIH,2014,5892102201.0,10990420322.0
BIH,2015,5099185764.0,8993966160.0
BIH,2016,5327578339.0,9141880413.0
BIH,2017,6367922271.56,10474058771.313
BIH,2018,7182096317.77,11629555025.821
BIH,2019,6578243902.235,11159040331.667
BIH,2020,6152512537.995,9867513970.012
BIH,2021,8614110010.866,13028951612.9
BIH,2022,9678152369.771,15379632167.161
BIH,2023,9228185850.185,15348896098.385
BIH,2024,8893856929.92,15853280486.929
BLR,1998,7069717504.0,8549278208.0
BLR,1999,5908927488.0,6673728512.0
BLR,2000,7331059000.0,8646200000.0
BLR,2001,7450644000.0,8286374600.0
BLR,2002,8020912000.0,9092341100.0
BLR,2003,9945588400.0,11558019700.0
BLR,2004,13751699600.0,16345466800.0
BLR,2005,15977220700.0,16698737000.0
BLR,2006,19738543400.0,22323210500.0
BLR,2007,24275244000.0,28693112600.0
BLR,2008,32570780500.0,39381251500.0
BLR,2009,21304172900.0,28568991600.0
BLR,2010,25283462300.0,34884450900.0
BLR,2011,41418672000.0,45759076500.0
BLR,2012,46059935000.0,46404389200.0
BLR,2013,37203035300.0,43022675000.0
BLR,2014,36080536800.0,40502359800.0
BLR,2015,26660394600.0,30291492800.0
BLR,2016,23537354500.0,27609883700.0
BLR,2017,29239993900.0,34234849200.0
BLR,2018,33726141400.0,38408911900.0
BLR,2019,32955122400.0,39476679200.0
BLR,2020,29179441000.0,32767433100.0
BLR,2021,39889022800.0,41810690400.0
BLZ,1992,135938576.0,274148544.0
BLZ,1993,126604713.0,280908824.0
BLZ,1994,142930384.0,259937888.0
BLZ,1995,161680154.0,258509299.0
BLZ,1996,167637247.0,255553433.0
BLZ,1997,176190657.0,286067639.0
BLZ,1998,162217536.0,292261248.0
BLZ,1999,140743376.0,284586880.0
BLZ,2000,200215099.0,446932894.0
BLZ,2001,181888966.0,519539688.0
BLZ,2002,164484703.0,527036654.0
BLZ,2003,201652345.0,523469925.5
BLZ,2004,215764471.0,490874602.5
BLZ,2005,207635672.5,513956460.0
BLZ,2006,274429335.0,660343069.0
BLZ,2007,266633572.0,684342489.0
BLZ,2008,295057821.0,836543793.0
BLZ,2009,261595685.36,650305024.005
BLZ,2010,305093264.378,706488870.405
BLZ,2011,379356293.32,800352792.409
BLZ,2012,401139617.0,843065697.0
BLZ,2013,413453886.0,906091369.0
BLZ,2014,358429021.0,962112036.0
BLZ,2015,313895185.0,995560655.0
BLZ,2016,246162629.0,952493786.0
BLZ,2017,277584960.065,913130452.85
BLZ,2018,240911158.1,957739411.005
BLZ,2019,244908836.208,985904343.903
BLZ,2020,211872682.315,787096516.645
BLZ,2021,264092675.61,1060471486.62
BLZ,2022,286430399.171,1377951217.183
BLZ,2023,253373381.831,1337482879.683
BLZ,2024,282983455.885,1454557674.57
BMU,1994,65535056.0,
BMU,1995,62929224.0,633307520.0
BMU,1997,,587153344.0
BMU,2005,,987514148.0
BMU,2006,,1070973876.0
BMU,2007,,1133147087.0
BMU,2008,,1146777916.0
BMU,2009,,1028090585.0
BMU,2010,,969629106.0
BMU,2011,,880766921.0
BMU,2012,9624203.0,866904652.0
BMU,2013,21705082.0,994572258.0
BMU,2014,11968501.0,961075407.0
BMU,2015,8622430.0,928900937.0
BMU,2016,8317389.0,971429410.0
BMU,2017,11742165.67,1078213784.73
BMU,2018,22912424.54,1070009014.92
BMU,2019,26832552.27,1117764475.54
BMU,2020,19103500.16,903950587.86
BMU,2021,28632529.08,1055206248.22
BMU,2022,33526784.43,1192257848.37
BMU,2023,22284773.74,1178658451.56
BOL,1992,765313792.0,1128597248.0
BOL,1993,808937600.0,1176929920.0
BOL,1994,1124230528.0,1196333440.0
BOL,1995,1181212032.0,1396248576.0
BOL,1996,1086943360.0,1643040000.0
BOL,1997,1272097664.0,1909178240.0
BOL,1998,1323269376.0,2350150400.0
BOL,1999,1401883454.0,1835407742.0
BOL,2000,1472403785.0,2020310594.0
BOL,2001,1349864878.47,1707551640.0
BOL,2002,1372218621.03,1831240178.0
BOL,2003,1674001460.36,1692046161.0
BOL,2004,2262672926.87,1919344222.0
BOL,2005,2945537489.73,2440039451.0
BOL,2006,4229618678.21,2925735248.0
BOL,2007,4886102395.67,3587951682.0
BOL,2008,7053621894.41,5097054867.0
BOL,2009,5483902779.1,4568531914.0
BOL,2010,7051433163.26,5603872620.94
BOL,2011,9213940071.9,7935744414.95
BOL,2012,11990832241.58,8590084889.58
