country,year,ILO
KOS,2022,99.368
KOS,2021,97.804
KOS,2020,96.168
KOS,2019,101.221
KOS,2018,91.216
KOS,2017,109.08
KOS,2016,98.646
KOS,2015,84.401
KOS,2014,92.953
KOS,2013,96.301
KOS,2012,89.706
LAO,2022,251.771
LAO,2017,246.972
LAO,2010,250.856
LBN,2019,326.134
LBR,2017,39.906
LBR,2010,115.778
LCA,2024,15.497
LCA,2023,13.881
LCA,2022,14.508
LCA,2021,11.802
LCA,2020,7.861
LCA,2019,11.837
LCA,2018,11.468
LCA,2017,12.615
LKA,2022,2158.199
LKA,2021,2109.482
LKA,2020,2152.746
LKA,2019,2258.421
LKA,2018,2239.262
LKA,2017,2331.494
LKA,2016,2097.503
LKA,2015,2018.171
LKA,2014,1971.841
LKA,2013,1927.193
LKA,2012,5608.926
LKA,2011,1819.571
LKA,2010,1864.538
LKA,2009,1910.314
LSO,2019,221.854
LSO,2008,151.849
LTU,2023,371.925
LTU,2022,365.536
LTU,2021,359.308
LTU,2020,344.487
LTU,2019,354.249
LTU,2018,354.227
LTU,2017,340.513
LTU,2016,342.212
LTU,2015,334.702
LTU,2014,326.111
LTU,2013,329.982
LTU,2012,319.995
LTU,2011,307.859
LTU,2010,306.419
LTU,2009,353.714
LTU,2008,435.51
LTU,2007,443.426
LTU,2006,422.55
LTU,2005,416.848
LTU,2004,402.856
LTU,2003,401.093
LTU,2002,388.866
LTU,2001,365.697
LTU,2000,380.063
LUX,2023,27.55
LUX,2022,27.463
LUX,2021,28.659
LUX,2020,28.007
LUX,2019,28.187
LUX,2018,31.508
LUX,2017,25.013
LUX,2016,28.232
LUX,2015,29.514
LUX,2014,27.131
LUX,2013,28.391
LUX,2012,29.34
LUX,2011,29.384
LUX,2010,28.642
LUX,2009,28.25
LUX,2008,30.884
LUX,2007,34.317
LUX,2006,32.578
LUX,2005,33.437
LUX,2004,35.427
LUX,2003,35.979
LUX,2002,37.768
LUX,2001,39.588
LUX,2000,37.54
LVA,2023,206.964
LVA,2022,209.289
LVA,2021,209.641
LVA,2020,202.586
LVA,2019,217.606
LVA,2018,208.876
LVA,2017,205.157
LVA,2016,215.268
LVA,2015,211.789
LVA,2014,210.867
LVA,2013,213.61
LVA,2012,205.473
LVA,2011,197.312
LVA,2010,196.226
LVA,2009,221.09
LVA,2008,310.032
LVA,2007,302.394
LVA,2006,281.947
LVA,2005,257.44
LVA,2004,258.778
LVA,2003,258.236
LVA,2002,242.829
LVA,2001,245.17
LVA,2000,251.969
MAC,2016,53.5
MAC,2015,62.9
MAC,2014,61.0
MAC,2013,45.8
MAR,2022,2495.571
MAR,2014,2569.89
MAR,2004,116.24
MDA,2024,178.727
MDA,2023,191.063
MDA,2022,194.084
MDA,2021,186.678
MDA,2020,180.455
MDA,2019,189.468
MDA,2018,154.104
MDA,2017,150.677
MDA,2016,162.904
MDA,2015,169.312
MDA,2014,170.718
MDA,2013,207.461
MDA,2012,221.086
MDA,2011,219.995
MDA,2010,213.278
MDA,2009,228.312
MDA,2008,246.148
MDA,2007,233.769
MDA,2006,228.654
MDA,2005,235.69
MDA,2004,236.702
MDA,2003,217.735
MDA,2002,217.423
MDA,2001,208.33
MDA,2000,210.442
MDG,2022,1170.305
MDG,2015,1015.933
MDG,2012,785.07
MDG,2001,516.141
MDV,2019,31.052
MDV,2016,26.131
MDV,2014,46.739
MDV,2009,15.433
