ref_area,source,indicator,classif1,classif2,time,obs_value,obs_status,note_classif,note_indicator,note_source
AUS,BA:518,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2019,2535.654,,,,S14:4077_S4:30_S5:38
AUS,BA:518,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2018,2572.834,,,,S14:4077_S4:30_S5:38
AUS,BA:518,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2017,2456.136,,,,S14:4077_S4:30_S5:38
AUS,BA:518,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2016,2395.378,,,,S14:4077_S4:30_S5:38
AUS,BA:518,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2015,2365.772,,,T12:145,S4:30_S5:38
AUS,BA:518,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2014,2422.363,,,T12:145,S4:30_S5:38
AUS,BA:518,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2013,2410.082,,,T12:145,S4:30_S5:38
AUS,BA:518,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2012,2430.991,,,T12:145,S4:30_S5:38
AUS,BA:518,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2011,2406.898,,,T12:145,S4:30_S5:38
AUS,BA:518,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2010,2388.86,,,T12:145,S4:30_S5:38
AUS,BA:518,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2009,2352.948,,,T12:145,S4:30_S5:38
AUS,BA:518,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2008,2395.747,,,T12:145,S14:4147_S4:30_S5:38
AUS,BA:518,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2007,2279.953,,,,S5:41_T3:104
AUS,BA:518,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2006,2219.156,,,,S5:41_T3:104
AUS,BA:518,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2005,2147.597,,,,S5:41_T3:104
AUS,BA:518,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2004,2091.796,,,,S5:41_T3:104
AUS,BB:15747,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2003,1909.688,,,,R1:3513
AUS,BB:15747,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2002,2022.966,,,,R1:3513
AUS,BB:15747,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2001,1823.674,,,,R1:3513
AUT,BA:103,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2023,1153.076,,,,R1:3513
AUT,BA:103,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2022,1171.252,,,,R1:3513
AUT,BA:103,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2021,1103.483,,,,R1:3513
AUT,BA:103,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2020,1072.991,,,,R1:3513
AUT,BA:103,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2019,1104.243,,,,R1:3513
AUT,BA:103,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2018,1098.562,,,,R1:3513
AUT,BA:103,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2017,1061.792,,,,R1:3513
AUT,BA:103,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2016,1078.803,,,,R1:3513
AUT,BA:103,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2015,1068.772,,,,R1:3513
