typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,19890101,1989,52,1989,196,CYP,Cyprus,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,2280303104.0,,2280303104.0,0,False,False
C,A,19890101,1989,52,1989,196,CYP,Cyprus,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,793037824.0,793037824.0,0,False,False
C,A,19890101,1989,52,1989,208,DNK,Denmark,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,26618134528.0,,26618134528.0,0,False,False
C,A,19890101,1989,52,1989,208,DNK,Denmark,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,28046196736.0,28046196736.0,0,False,False
C,A,19890101,1989,52,1989,246,FIN,Finland,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,24613038080.0,,24613038080.0,0,False,False
C,A,19890101,1989,52,1989,246,FIN,Finland,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,23270098944.0,23270098944.0,0,False,False
C,A,19890101,1989,52,1989,280,DEU,Fed. Rep. of Germany (...1990),M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,,True,,False,,False,269575910000.0,,269575910000.0,0,False,False
C,A,19890101,1989,52,1989,280,DEU,Fed. Rep. of Germany (...1990),X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,,True,,False,,False,,341098833000.0,341098833000.0,0,False,False
C,A,19890101,1989,52,1989,300,GRC,Greece,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,16127107072.0,,16127107072.0,0,False,False
C,A,19890101,1989,52,1989,300,GRC,Greece,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,7543195136.0,7543195136.0,0,False,False
C,A,19890101,1989,52,1989,332,HTI,Haiti,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,152115552.0,152115552.0,0,False,False
C,A,19890101,1989,52,1989,352,ISL,Iceland,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,1400624640.0,,1400624640.0,0,False,False
C,A,19890101,1989,52,1989,352,ISL,Iceland,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,1401221120.0,1401221120.0,0,False,False
C,A,19890101,1989,52,1989,360,IDN,Indonesia,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,16359556096.0,,16359556096.0,0,False,False
C,A,19890101,1989,52,1989,360,IDN,Indonesia,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,22028109824.0,22028109824.0,0,False,False
C,A,19890101,1989,52,1989,392,JPN,Japan,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,210846600397.0,,210846600397.0,0,True,False
C,A,19890101,1989,52,1989,392,JPN,Japan,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,275174550409.0,275174550409.0,0,True,False
C,A,19890101,1989,52,1989,410,KOR,Rep. of Korea,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,,False,,False,,False,61455781707.0,,61455781707.0,0,True,False
C,A,19890101,1989,52,1989,410,KOR,Rep. of Korea,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,,False,,False,,False,,62356678863.0,62356678863.0,0,True,False
C,A,19890101,1989,52,1989,458,MYS,Malaysia,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,22480953310.0,,22480953310.0,0,True,False
C,A,19890101,1989,52,1989,458,MYS,Malaysia,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,25048247068.0,25048247068.0,0,True,False
C,A,19890101,1989,52,1989,512,OMN,Oman,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,2257338880.0,,2257338880.0,0,True,False
C,A,19890101,1989,52,1989,512,OMN,Oman,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,3932778752.0,3932778752.0,0,True,False
C,A,19890101,1989,52,1989,554,NZL,New Zealand,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,8774995968.0,,8774995968.0,0,True,False
